,Jacard Benzerliği
"('Blaise Zabini', 'Pansy Parkinson')",0.0
"('Blaise Zabini', 'Parvati Patil')",0.0
"('Blaise Zabini', 'Penelope Clearwater')",0.0
"('Blaise Zabini', 'Percy Weasley')",0.0
"('Blaise Zabini', 'Peregrine Derrick')",0.0
"('Blaise Zabini', 'Roger Davies')",0.0
"('Blaise Zabini', 'Romilda Vane')",0.0
"('Blaise Zabini', 'Ronald Weasley')",0.0
"('Blaise Zabini', 'Rose Zeller')",0.0
"('Blaise Zabini', 'Seamus Finnigan')",0.0
"('Blaise Zabini', 'Stewart Ackerley')",0.0
"('Blaise Zabini', 'Susan Bones')",0.0
"('Blaise Zabini', 'Terry Boot')",0.0
"('Blaise Zabini', 'Theodore Nott')",0.0
"('Blaise Zabini', 'Vincent Crabbe')",0.0
"('Blaise Zabini', 'Zacharias Smith')",0.0
"('C. Warrington', 'Adrian Pucey')",0.0
"('C. Warrington', 'Alicia Spinnet')",0.0
"('C. Warrington', 'Angelina Johnson')",0.0
"('C. Warrington', 'Anthony Goldstein')",0.0
"('C. Warrington', 'Blaise Zabini')",0.0
"('C. Warrington', 'Cedric Diggory')",0.0
"('C. Warrington', 'Cho Chang')",0.0
"('C. Warrington', 'Colin Creevey')",0.0
"('C. Warrington', 'Cormac McLaggen')",0.0
"('C. Warrington', 'Dean Thomas')",0.0
"('C. Warrington', 'Demelza Robins')",0.0
"('C. Warrington', 'Dennis Creevey')",0.0
"('C. Warrington', 'Draco Malfoy')",0.0
"('C. Warrington', 'Eddie Carmichael')",0.0
"('C. Warrington', 'Eleanor Branstone')",0.0
"('C. Warrington', 'Ernie Macmillan')",0.0
"('C. Warrington', 'Euan Abercrombie')",0.0
"('C. Warrington', 'Fred Weasley')",0.0
"('C. Warrington', 'George Weasley')",0.0
"('C. Warrington', 'Ginny Weasley')",0.0
"('C. Warrington', 'Graham Pritchard')",0.0
"('C. Warrington', 'Gregory Goyle')",0.0
"('C. Warrington', 'Hannah Abbott')",0.0
"('C. Warrington', 'Harry James Potter')",0.0
"('C. Warrington', 'Hermione Granger')",0.0
"('C. Warrington', 'Jimmy Peakes')",0.0
"('C. Warrington', 'Justin Finch-Fletchley')",0.0
"('C. Warrington', 'Katie Bell')",0.0
"('C. Warrington', 'Kevin Whitby')",0.0
"('C. Warrington', 'Lavender Brown')",0.0
"('C. Warrington', 'Leanne')",0.0
"('C. Warrington', 'Lee Jordan')",0.0
"('C. Warrington', 'Lucian Bole')",0.0
"('C. Warrington', 'Luna Lovegood')",0.0
"('C. Warrington', 'Malcolm Baddock')",0.0
"('C. Warrington', 'Mandy Brocklehurst')",0.0
"('C. Warrington', 'Marcus Belby')",0.0
"('C. Warrington', 'Marcus Flint')",0.0
"('C. Warrington', 'Michael Corner')",0.0
"('C. Warrington', 'Miles Bletchley')",0.0
"('C. Warrington', 'Millicent Bulstrode')",0.0
"('C. Warrington', 'Natalie McDonald')",0.0
"('C. Warrington', 'Neville Longbottom')",0.0
"('C. Warrington', 'Oliver Wood')",0.0
"('C. Warrington', 'Orla Quirke')",0.0
"('C. Warrington', 'Owen Cauldwell')",0.0
"('C. Warrington', 'Padma Patil')",0.0
"('C. Warrington', 'Pansy Parkinson')",0.0
"('C. Warrington', 'Parvati Patil')",0.0
"('C. Warrington', 'Penelope Clearwater')",0.0
"('C. Warrington', 'Percy Weasley')",0.0
"('C. Warrington', 'Peregrine Derrick')",0.0
"('C. Warrington', 'Roger Davies')",0.0
"('C. Warrington', 'Romilda Vane')",0.0
"('C. Warrington', 'Ronald Weasley')",0.0
"('C. Warrington', 'Rose Zeller')",0.0
"('C. Warrington', 'Seamus Finnigan')",0.0
"('C. Warrington', 'Stewart Ackerley')",0.0
"('C. Warrington', 'Susan Bones')",0.0
"('C. Warrington', 'Terry Boot')",0.0
"('C. Warrington', 'Theodore Nott')",0.0
"('C. Warrington', 'Vincent Crabbe')",0.0
"('C. Warrington', 'Zacharias Smith')",0.0
"('Cedric Diggory', 'Adrian Pucey')",0.0
"('Cedric Diggory', 'Alicia Spinnet')",0.09090909090909091
"('Cedric Diggory', 'Angelina Johnson')",0.09090909090909091
"('Cedric Diggory', 'Anthony Goldstein')",0.1111111111111111
"('Cedric Diggory', 'Blaise Zabini')",0.0
"('Cedric Diggory', 'C. Warrington')",0.0
"('Cedric Diggory', 'Cho Chang')",0.6666666666666666
"('Cedric Diggory', 'Colin Creevey')",0.2
"('Cedric Diggory', 'Cormac McLaggen')",0.0
"('Cedric Diggory', 'Dean Thomas')",0.1
"('Cedric Diggory', 'Demelza Robins')",0.0
"('Cedric Diggory', 'Dennis Creevey')",0.2
"('Cedric Diggory', 'Draco Malfoy')",0.0
"('Cedric Diggory', 'Eddie Carmichael')",0.0
"('Cedric Diggory', 'Eleanor Branstone')",0.0
"('Cedric Diggory', 'Ernie Macmillan')",0.1111111111111111
"('Cedric Diggory', 'Euan Abercrombie')",0.0
"('Cedric Diggory', 'Fred Weasley')",0.07692307692307693
"('Cedric Diggory', 'George Weasley')",0.07692307692307693
"('Cedric Diggory', 'Ginny Weasley')",0.09090909090909091
"('Cedric Diggory', 'Graham Pritchard')",0.0
"('Cedric Diggory', 'Gregory Goyle')",0.0
"('Cedric Diggory', 'Hannah Abbott')",0.1111111111111111
"('Cedric Diggory', 'Harry James Potter')",0.15
"('Cedric Diggory', 'Hermione Granger')",0.058823529411764705
"('Cedric Diggory', 'Jimmy Peakes')",0.0
"('Cedric Diggory', 'Justin Finch-Fletchley')",0.1111111111111111
"('Cedric Diggory', 'Katie Bell')",0.1111111111111111
"('Cedric Diggory', 'Kevin Whitby')",0.0
"('Cedric Diggory', 'Lavender Brown')",0.0
"('Cedric Diggory', 'Leanne')",0.0
"('Cedric Diggory', 'Lee Jordan')",0.14285714285714285
"('Cedric Diggory', 'Lucian Bole')",0.0
"('Cedric Diggory', 'Luna Lovegood')",0.125
"('Cedric Diggory', 'Malcolm Baddock')",0.0
"('Cedric Diggory', 'Mandy Brocklehurst')",0.0
"('Cedric Diggory', 'Marcus Belby')",0.0
"('Cedric Diggory', 'Marcus Flint')",0.0
"('Cedric Diggory', 'Michael Corner')",0.0
"('Cedric Diggory', 'Miles Bletchley')",0.0
"('Cedric Diggory', 'Millicent Bulstrode')",0.0
"('Cedric Diggory', 'Natalie McDonald')",0.0
"('Cedric Diggory', 'Neville Longbottom')",0.1
"('Cedric Diggory', 'Oliver Wood')",0.1
"('Cedric Diggory', 'Orla Quirke')",0.0
"('Cedric Diggory', 'Owen Cauldwell')",0.0
"('Cedric Diggory', 'Padma Patil')",0.3333333333333333
"('Cedric Diggory', 'Pansy Parkinson')",0.0
"('Cedric Diggory', 'Parvati Patil')",0.0
"('Cedric Diggory', 'Penelope Clearwater')",0.0
"('Cedric Diggory', 'Percy Weasley')",0.16666666666666666
"('Cedric Diggory', 'Peregrine Derrick')",0.0
"('Cedric Diggory', 'Roger Davies')",0.0
"('Cedric Diggory', 'Romilda Vane')",0.0
"('Cedric Diggory', 'Ronald Weasley')",0.058823529411764705
"('Cedric Diggory', 'Rose Zeller')",0.0
"('Cedric Diggory', 'Seamus Finnigan')",0.1
"('Cedric Diggory', 'Stewart Ackerley')",0.0
"('Cedric Diggory', 'Susan Bones')",0.1111111111111111
"('Cedric Diggory', 'Terry Boot')",0.1
"('Cedric Diggory', 'Theodore Nott')",0.0
"('Cedric Diggory', 'Vincent Crabbe')",0.0
"('Cedric Diggory', 'Zacharias Smith')",0.0
"('Cho Chang', 'Adrian Pucey')",0.0
"('Cho Chang', 'Alicia Spinnet')",0.1
"('Cho Chang', 'Angelina Johnson')",0.1
"('Cho Chang', 'Anthony Goldstein')",0.125
"('Cho Chang', 'Blaise Zabini')",0.0
"('Cho Chang', 'C. Warrington')",0.0
"('Cho Chang', 'Cedric Diggory')",0.6666666666666666
"('Cho Chang', 'Colin Creevey')",0.25
"('Cho Chang', 'Cormac McLaggen')",0.0
"('Cho Chang', 'Dean Thomas')",0.1111111111111111
"('Cho Chang', 'Demelza Robins')",0.0
"('Cho Chang', 'Dennis Creevey')",0.25
"('Cho Chang', 'Draco Malfoy')",0.0
"('Cho Chang', 'Eddie Carmichael')",0.0
"('Cho Chang', 'Eleanor Branstone')",0.0
"('Cho Chang', 'Ernie Macmillan')",0.125
"('Cho Chang', 'Euan Abercrombie')",0.0
"('Cho Chang', 'Fred Weasley')",0.08333333333333333
"('Cho Chang', 'George Weasley')",0.08333333333333333
"('Cho Chang', 'Ginny Weasley')",0.1
"('Cho Chang', 'Graham Pritchard')",0.0
"('Cho Chang', 'Gregory Goyle')",0.0
"('Cho Chang', 'Hannah Abbott')",0.125
"('Cho Chang', 'Harry James Potter')",0.1
"('Cho Chang', 'Hermione Granger')",0.0625
"('Cho Chang', 'Jimmy Peakes')",0.0
"('Cho Chang', 'Justin Finch-Fletchley')",0.125
"('Cho Chang', 'Katie Bell')",0.125
"('Cho Chang', 'Kevin Whitby')",0.0
"('Cho Chang', 'Lavender Brown')",0.0
"('Cho Chang', 'Leanne')",0.0
"('Cho Chang', 'Lee Jordan')",0.16666666666666666
"('Cho Chang', 'Lucian Bole')",0.0
"('Cho Chang', 'Luna Lovegood')",0.14285714285714285
"('Cho Chang', 'Malcolm Baddock')",0.0
"('Cho Chang', 'Mandy Brocklehurst')",0.0
"('Cho Chang', 'Marcus Belby')",0.0
"('Cho Chang', 'Marcus Flint')",0.0
"('Cho Chang', 'Michael Corner')",0.0
"('Cho Chang', 'Miles Bletchley')",0.0
"('Cho Chang', 'Millicent Bulstrode')",0.0
"('Cho Chang', 'Natalie McDonald')",0.0
"('Cho Chang', 'Neville Longbottom')",0.1111111111111111
"('Cho Chang', 'Oliver Wood')",0.1111111111111111
"('Cho Chang', 'Orla Quirke')",0.0
"('Cho Chang', 'Owen Cauldwell')",0.0
"('Cho Chang', 'Padma Patil')",0.5
"('Cho Chang', 'Pansy Parkinson')",0.0
"('Cho Chang', 'Parvati Patil')",0.0
"('Cho Chang', 'Penelope Clearwater')",0.0
"('Cho Chang', 'Percy Weasley')",0.2
"('Cho Chang', 'Peregrine Derrick')",0.0
"('Cho Chang', 'Roger Davies')",0.0
"('Cho Chang', 'Romilda Vane')",0.0
"('Cho Chang', 'Ronald Weasley')",0.0625
"('Cho Chang', 'Rose Zeller')",0.0
"('Cho Chang', 'Seamus Finnigan')",0.1111111111111111
"('Cho Chang', 'Stewart Ackerley')",0.0
"('Cho Chang', 'Susan Bones')",0.125
"('Cho Chang', 'Terry Boot')",0.1111111111111111
"('Cho Chang', 'Theodore Nott')",0.0
"('Cho Chang', 'Vincent Crabbe')",0.0
"('Cho Chang', 'Zacharias Smith')",0.0
"('Colin Creevey', 'Adrian Pucey')",0.0
"('Colin Creevey', 'Alicia Spinnet')",0.09090909090909091
"('Colin Creevey', 'Angelina Johnson')",0.09090909090909091
"('Colin Creevey', 'Anthony Goldstein')",0.1111111111111111
"('Colin Creevey', 'Blaise Zabini')",0.0
"('Colin Creevey', 'C. Warrington')",0.0
